[  143]   fixation ->    saccade (ibdt:108)
[ 4286]    pursuit ->   fixation (ibdt:108)
[ 4287]    pursuit ->   fixation (ibdt:108)
[ 4288]    pursuit ->   fixation (ibdt:108)
[ 4289]    pursuit ->   fixation (ibdt:108)
[ 4290]    pursuit ->   fixation (ibdt:108)
[ 4291]    pursuit ->   fixation (ibdt:108)
[ 4292]    pursuit ->   fixation (ibdt:108)
[ 4293]    pursuit ->   fixation (ibdt:108)
[ 4294]    pursuit ->   fixation (ibdt:108)
[ 4295]    pursuit ->   fixation (ibdt:108)
[ 4296]    pursuit ->   fixation (ibdt:108)
[ 4297]    pursuit ->   fixation (ibdt:108)
[ 4298]    pursuit ->   fixation (ibdt:108)
[ 4299]    pursuit ->   fixation (ibdt:108)
[ 4300]    pursuit ->   fixation (ibdt:108)
[ 4301]    pursuit ->   fixation (ibdt:108)
[ 4302]    pursuit ->   fixation (ibdt:108)
[ 4303]    pursuit ->   fixation (ibdt:108)
[ 4304]    pursuit ->   fixation (ibdt:108)
[ 4362]    saccade ->    pursuit (ibdt:108)
[ 4363]    saccade ->    pursuit (ibdt:108)
[ 4371]    saccade ->   fixation (ibdt:108)
[ 4372]    saccade ->   fixation (ibdt:108)
[ 4373]    saccade ->   fixation (ibdt:108)
[ 4374]    saccade ->   fixation (ibdt:108)
[ 4375]    saccade ->   fixation (ibdt:108)
[ 4376]    pursuit ->   fixation (ibdt:108)
[ 4377]    pursuit ->   fixation (ibdt:108)
[ 4378]    pursuit ->   fixation (ibdt:108)
[ 4379]    pursuit ->   fixation (ibdt:108)
[ 4380]    pursuit ->   fixation (ibdt:108)
[ 4381]    pursuit ->   fixation (ibdt:108)
[ 4382]    pursuit ->   fixation (ibdt:108)
[ 4383]    pursuit ->   fixation (ibdt:108)
[ 4384]    pursuit ->   fixation (ibdt:108)
[ 4385]    pursuit ->   fixation (ibdt:108)
[ 4386]    pursuit ->   fixation (ibdt:108)
[ 4387]    pursuit ->   fixation (ibdt:108)
[ 4388]    pursuit ->   fixation (ibdt:108)
[ 4389]    pursuit ->   fixation (ibdt:108)
[ 4390]    pursuit ->   fixation (ibdt:108)
[ 4391]    pursuit ->   fixation (ibdt:108)
[ 4392]    pursuit ->   fixation (ibdt:108)
[ 4393]    pursuit ->   fixation (ibdt:108)
[ 4394]    pursuit ->   fixation (ibdt:108)
[ 4395]    pursuit ->   fixation (ibdt:108)
[ 4396]    pursuit ->   fixation (ibdt:108)
[ 4397]    pursuit ->   fixation (ibdt:108)
[ 4398]    pursuit ->   fixation (ibdt:108)
[ 4421]    saccade ->    pursuit (ibdt:108)
[ 4430]    saccade ->   fixation (ibdt:108)
[ 4431]    saccade ->   fixation (ibdt:108)
[ 4432]    saccade ->   fixation (ibdt:108)
[ 4433]    saccade ->   fixation (ibdt:108)
[ 4475]    saccade ->   fixation (ibdt:108)
[ 4476]    saccade ->   fixation (ibdt:108)
[ 4483]    saccade ->   fixation (ibdt:108)
[ 4484]    saccade ->   fixation (ibdt:108)
[ 4485]    saccade ->   fixation (ibdt:108)
[ 4535]    saccade ->   fixation (ibdt:108)
[ 4536]    saccade ->   fixation (ibdt:108)
[ 4538]    saccade ->   fixation (ibdt:108)
[ 4621]    saccade ->   fixation (ibdt:108)
[ 4622]    saccade ->   fixation (ibdt:108)
[ 4623]    saccade ->   fixation (ibdt:108)
[ 4625]    saccade ->   fixation (ibdt:108)
[ 4626]    saccade ->   fixation (ibdt:108)
[ 4627]    saccade ->   fixation (ibdt:108)
[ 4672]    saccade ->   fixation (ibdt:108)
[ 4684]    saccade ->   fixation (ibdt:108)
[ 4685]    saccade ->   fixation (ibdt:108)
[ 4740]    saccade ->   fixation (ibdt:108)
[ 4744]    saccade ->   fixation (ibdt:108)
[ 4745]    saccade ->   fixation (ibdt:108)
[ 4746]    saccade ->   fixation (ibdt:108)
[ 4792]    saccade ->   fixation (ibdt:108)
[ 4793]    saccade ->   fixation (ibdt:108)
[ 4908]   fixation ->    saccade (ibdt:108)
[ 4969]    saccade ->   fixation (ibdt:108)
[ 4970]    saccade ->   fixation (ibdt:108)
